CustomerID,Recency,Frequency,Monetary
14646.0,2016,73,280206.02000000037
18102.0,2016,60,259657.30000000002
17450.0,2016,46,194550.78999999998
16446.0,2020,2,168472.5
14911.0,2016,201,143825.05999999936
12415.0,2016,21,124914.52999999974
14156.0,2016,55,117379.62999999986
17511.0,2016,31,91062.3799999999
16029.0,2016,63,81024.84000000011
12346.0,2024,1,77183.6
16684.0,2018,28,66653.55999999995
13694.0,2016,50,65039.62000000001
15311.0,2016,91,60767.90000000022
13089.0,2016,97,58825.83000000014
17949.0,2016,45,58510.48000000001
15769.0,2016,26,56252.72000000001
15061.0,2016,48,54534.140000000014
14096.0,2016,17,53258.42999999948
14298.0,2016,44,51527.30000000011
14088.0,2017,13,50491.80999999996
15749.0,2021,3,44534.3
12931.0,2017,15,42055.95999999999
17841.0,2016,124,40991.57000000036
15098.0,2019,3,39916.5
13798.0,2016,57,37153.85
16013.0,2016,47,37130.6
16422.0,2016,51,34684.399999999994
12748.0,2016,209,33719.73000000046
15838.0,2016,19,33643.08
17404.0,2016,15,31906.819999999996
17389.0,2016,34,31833.68000000003
13098.0,2016,28,28882.440000000017
14680.0,2016,16,28754.109999999997
13081.0,2018,11,28337.380000000067
13408.0,2016,62,28117.040000000023
17857.0,2016,23,26879.039999999997
16333.0,2016,22,26626.799999999992
13777.0,2016,33,25977.15999999998
12753.0,2018,6,21429.390000000003
12744.0,2018,7,21279.28999999999
16210.0,2016,18,21086.3
17675.0,2016,31,20374.27999999999
17381.0,2016,29,20275.60999999999
15039.0,2016,47,19914.43999999997
12471.0,2016,30,19824.05
12731.0,2016,12,18895.910000000025
15159.0,2016,30,18641.010000000006
12901.0,2016,28,17654.540000000005
12678.0,2016,12,17628.46000000002
14031.0,2016,19,17286.859999999982
17428.0,2016,28,17256.85
13767.0,2016,37,17220.360000000022
13881.0,2016,20,17159.520000000004
16839.0,2016,34,16594.34999999998
12921.0,2016,37,16587.089999999997
14607.0,2022,14,16569.5
15856.0,2016,27,16387.570000000036
17677.0,2016,30,16363.230000000001
15189.0,2016,41,16225.390000000003
14051.0,2016,23,15610.389999999989
15513.0,2016,19,14758.22
16133.0,2016,33,14589.039999999994
14866.0,2016,12,14389.899999999998
16705.0,2016,20,14034.99
12681.0,2016,22,13787.540000000006
12621.0,2016,20,13689.669999999991
12540.0,2016,17,13400.240000000002
12433.0,2016,7,13375.869999999997
15498.0,2016,27,13316.399999999985
12477.0,2017,6,13219.739999999998
17735.0,2016,19,13110.01999999997
16525.0,2016,26,13027.45000000001
14258.0,2016,9,12669.98
13078.0,2016,26,12627.940000000004
12536.0,2015,3,12601.830000000005
15640.0,2016,15,12515.659999999982
16000.0,2013,3,12393.7
17340.0,2016,11,12353.289999999992
12682.0,2016,31,12288.219999999987
13113.0,2017,24,12245.96
14606.0,2016,93,12156.650000000063
12557.0,2018,5,11990.96
12939.0,2016,8,11581.799999999996
15125.0,2017,15,11528.479999999998
14194.0,2016,21,11349.519999999984
12971.0,2016,86,11189.909999999993
14895.0,2016,20,11138.709999999992
12409.0,2016,3,11072.670000000002
15482.0,2019,12,11054.960000000003
17581.0,2016,25,11045.039999999999
13319.0,2016,26,10845.549999999994
17107.0,2016,6,10815.429999999986
13340.0,2017,7,10736.479999999996
14769.0,2016,8,10674.75000000001
17139.0,2016,12,10668.47
16779.0,2016,22,10629.720000000001
17865.0,2016,20,10526.319999999989
17706.0,2017,17,10504.489999999996
15251.0,2016,11,10484.990000000002
14062.0,2016,12,10464.850000000004
15615.0,2017,23,10399.739999999996
15502.0,2016,12,10384.929999999993
16180.0,2017,8,10254.180000000002
16843.0,2016,16,10196.570000000005
12590.0,2020,2,9864.260000000004
13001.0,2018,13,9818.820000000016
13199.0,2016,38,9817.119999999995
15078.0,2016,32,9743.109999999999
12709.0,2016,15,9736.52
13458.0,2016,14,9646.569999999992
14733.0,2017,12,9585.91
16523.0,2016,21,9418.470000000003
12567.0,2016,10,9401.28
14367.0,2016,16,9261.520000000002
14667.0,2016,25,9241.19999999999
18092.0,2016,11,9068.26
13969.0,2017,18,9053.939999999977
12451.0,2020,5,9035.520000000002
13488.0,2016,13,8968.310000000005
13090.0,2018,14,8910.819999999996
16033.0,2016,20,8816.39999999998
